name,arabic_name
Taj Al-Awael,‫تاج الأوائل‬
Taj Al-Khaleej Trading Establishment,‫مؤسسة تاج الخليج التجارية‬
Tala Al-Khalij Trading Est.,‫مؤسسة تالا الخليج التجارية‬
Tannour Bakery,‫مخبز تنور‬
Taqs,‫Taqs‬
Taslya Al-Watania Trading Establishment,‫مؤسسة تسلية الوطنية التجارية‬
Taybah,‫طيبة‬
Tekno Your Shop,‫تكنو متجرك‬
Thoraya Telecom,‫ثريا للإتصالات‬
Thoufeer,‫ثوفر‬
Thuqbah Cloth Center (TCC),‫مركز الثقبة للأقمشة (TCC)‬
Tifel Al-Radia,‫تيفل الراضية‬
Top Ten,‫العشرة الأوائل‬
Top World,‫أعلى العالم‬
Tous Sweet,‫توس سويت‬
Towfu (Tokwa),‫توفو (توكوا)‬
Towline,‫حبل السحب‬
Technical Home,‫الصفحة الرئيسية الفنية‬
Toys Corner,‫ركن الألعاب‬
Toys Planet,‫تويز بلانيت‬
Twaigera Group,‫مجموعة تويجيرا‬
Um-Alsahik Al-Ahliya Pharmacy,‫صيدلية أم الساحق الأهلية‬
United Company Clinic,‫عيادة الشركة المتحدة‬
Uzam Health Medecine Clinic,‫عيادة أوزام الصحية للطب‬
Vita Food Company,‫شركة فيتا للأغذية‬
Vogue,‫رائج‬
Wafed (AF),‫وافد (AF)‬
Waha Charcoal,‫واحة فحم‬
Wahat Al-Ahram,‫واحة الأهرام‬
Wahat Al-Andalus,‫واحة الأندلس‬
Wahat Al-Asaar,‫واحة العصار‬
Waraa Center,‫مركز وراء‬
Warq,‫وراق‬
Washa,‫وشا‬
Wassil Paper Product Company,‫شركة الواصل للمنتجات الورقية‬
Wazzan Restaurant,‫مطعم وزان‬
We One Shopping Center,‫مركز تسوق وي ون‬
Welcome,‫أهلًا وسهلًا‬
Weraq Studio Service,‫خدمة استوديو وراق‬
Wessam Hotel,‫فندق وسام‬
Wessam Sweets,‫حلويات وسام‬
Wisam,‫وسام‬
Wlaim Charcoal,‫فحم اللايم‬
World Dessert,‫حلوى العالم‬
World of Savings,‫عالم الادخار‬
Yafae Jewelry,‫مجوهرات يافاء‬
Yassir Trading Establishment,‫مؤسسة ياسر التجارية‬
Your Choice,‫اختيارك‬
Yousif Pharmacy,‫صيدلية يوسف‬
Yousuf Karam Sufra,‫يوسف كرم سفرة‬
Z,‫Z‬
Zalzale,‫زالزال‬
Z Power,‫Z باور‬
Zahrani Trading,‫الزهراني للتجارة‬
Zamal Manahi,‫زمال مناحي‬
Zanobbia Style,‫أسلوب زانوبيا‬
Zarah Al-Mulwana,‫زارة الملوانية‬
Zohoor Pizza,‫بيتزا زهور‬
Asil Charcoal,‫فحم أصيل‬
Cytotoxic Waste,‫النفايات السامة للخلايا‬
Aqee (Sharbal),‫عقي (شاربل)‬
Best Friends,‫أعز الأصدقاء‬
Taxi,‫تاكسي‬
Masal Al-Reem,‫مسال الريم‬
Ajaeb Al-Jazzera,‫عجيب الجزيرا‬
Amwaj Al-Seef,‫أمواج السيف‬
Safir Restaurant,‫مطعم سفير‬
Sandellas Flat Bread,‫خبز سانديلاس مسطح‬
2000 Telecom,‫2000 للاتصالات‬
King Star Shopping Mall,‫مركز كينج ستار للتسوق‬
Wesam Al-Tawfeer,‫وسام التوفير‬
Anaqah Al-Saudia,‫عناقة السعودية‬
Hanii Mobile,‫هاني موبايل‬
Samarain Charcoal,‫فحم سامارين‬
Mishab Trading Establishment,‫مؤسسة مشاب التجارية‬
Natharat Fee (NF),‫نثارات فاي (NF)‬
Kifah,‫كفاح‬
Eastern Gate Restaurant,‫مطعم البوابة الشرقية‬
Najmat Al-Tawfeer,‫نجمت التوفير‬
Gamat Al-Hassa,‫جامع الأحساء‬
Jamalak,‫جمال‬
Wahit Kawatim,‫وهيت كواتيم‬
Mazaya Al-Haram,‫مزايا الهرم‬
Plastic Recycling,‫إعادة تدوير البلاستيك‬
Shawarma Webass,‫شاورما ويب‬
Sharq Al-Awsat,‫شرق الأوسط‬
Rashaqa Waljamal (Citraria),‫رشقة والجمال (سيتريا)‬
Muntazah,‫منتزه‬
Ghawar Restaurant,‫مطعم الغوار‬
Silk House,‫بيت الحرير‬
Planet Fashion,‫أزياء الكوكب‬
Unique Perfumes,‫عطور فريدة من نوعها‬
Dar Perfumes,‫دار للعطور‬
Mouda,‫مودى‬
Judh Restaurant,‫مطعم جود‬
Fashion Point,‫نقطة الموضة‬
Ataa,‫عطاء‬
Sanabis,‫السنابس‬
Ashrakt Al-Sharqiyah,‫أشراكت الشرقية‬
Zain City,‫مدينة زين‬
Jubail University College,‫كلية الجبيل الجامعية‬
Najimat Shoes,‫أحذية نجمات‬
Dorob,‫دوروب‬
Pakistani,‫باكستاني‬
Abanamy Hospital,‫مستشفى أبانامي‬
Fertilizer Project,‫مشروع الأسمدة‬
Mushiri,‫مشيري‬
Raqwani,‫الرقواني‬
Penshoppe,‫Penshoppe‬
Masloum Codstore,‫Masloum Codstore‬
Special Bread,‫خبز خاص‬
Darlyn,‫دارلين‬
Reem Pizza,‫بيتزا ريم‬
Maha,‫مها‬
Barkat Super Market,‫سوبر ماركت بركات‬
Saving Corner Center,‫مركز ركن التوفير‬
Bait Al-Robyan,‫بيت الربيان‬
Bait Al-Musthalik,‫بيت المستقبل‬
Fugro-Suhaimi,‫فوغرو سحيمي‬
Neven,‫نيفين‬
Royal Pillow,‫وسادة رويال‬
My Home,‫بيتي‬
Faisal,‫فيصل‬
TravelMate,‫ترافل ميت‬
Delta Modern Bakeries,‫مخابز دلتا الحديثة‬
Huthaili Establishment,‫مؤسسة حذيلي‬
Fish House,‫بيت السمك‬
Wadi Al-Hejaz Charcoal,‫وادي الحجاز فحم‬
Manal,‫منال‬
Amri Plaza,‫عمري بلازا‬
Amri Plus for Textiles,‫عمري بلس للمنسوجات‬
Jibneys,‫جيبنيس‬
Ziyad,‫زياد‬
Ladin,‫ادن‬
Bait Jeddy,‫بيت جدي‬
Mizan Natural,‫ميزان طبيعي‬
Master Point,‫ماستر بوينت‬
Opple,‫أوبل‬
Malaz Gulf Establishment,‫مؤسسة ملاذ الخليج‬
Essa,‫عيسي‬
Seasons,‫مواسم‬
Tamimi Co. LTD.,‫شركة التميمي المحدودة‬
Sewing Accessories,‫اكسسوارات الخياطة‬
Faizal Al-Ansari,‫فيصل الأنصاري‬
Noor Charcoal,‫نور فحم‬
Tiger,‫نمر‬
Markaz Flash,"‫""مركز فلاش""‬"
Fahad Specialist Hospital,‫مستشفى فهد التخصصي‬
Fon Fon,‫فون فون‬
Kabas,‫قباس‬
New Born Baby Gate,‫بوابة الطفل حديث الولادة‬
Saf Saf Restaurant,‫مطعم صف صاف‬
Sharq Hotel,‫فندق شرق‬
Abdullah Al-Ghunaim Trading Establishment,‫مؤسسة عبدالله الغنيم التجارية‬
EPO,‫المكتب الأوروبي للبراءات‬
Amoudi,‫العمودي‬
Jokar,‫جوكار‬
Toufeer Al-Mathali,‫توفير المطعلي‬
SWCC Employees,‫موظفو المؤسسة العامة لمجلس النواحي‬
ATT Group,‫مجموعة ATT‬
Red Onion,‫بصل أحمر‬
Huraith Tailor,‫خياط حريث‬
Nassej Shahaba,‫ناسيج شهابا‬
Maghlouth Store,‫متجر مغلوث‬
ACT,‫فعل‬
Mohammed Salim Al-Rashed,‫محمد سالم الراشد‬
Tayeb Al-Tazaj,‫طيب التزج‬
Yahya Spare Parts,‫قطع غيار يحيى‬
Shamsi,‫شمسي‬
Advance,‫ترقى‬
Prestige,‫هيبه‬
Misk Al-Jenan,‫مسك الجنان‬
Golden Tulip Resort,‫منتجع جولدن توليب‬
Crown Plaza,‫كراون بلازا‬
KSFH,‫KSFH‬
Lebanes Bakery,‫مخبز لبنان‬
Jazeerat Al-Salam Trading Est.,‫مؤسسة جزيرة السلام التجارية‬
Eastern Cement Employee Cooperative,‫تعاونية موظفي الأسمنت الشرقية‬
Good Morning,‫صباح الخير‬
Ahmad Abdullah Al-Dawood Est.,‫مؤسسة أحمد عبدالله الداود‬
Fakher Charcoal,‫فحم فاخر‬
WESCOSA,‫ويسكوزا‬
Taj Restaurant,‫مطعم تاج‬
Burger Stop,‫برجر ستوب‬
Royal Chicken,‫دجاج رويال‬
Barq,‫برق‬
Lulu Al-Khaleej,‫لولو الخليج‬
Onasa,‫أوناسا‬
Dento Plast Center,‫مركز دينتو بلاست‬
Gulf Hygenic,‫الخليج للصحة‬
Discount Village,‫قرية الخصم‬
Tawasul Center,‫مركز تواصل‬
Bani Hashem Qanber,‫بني هاشم قنبر‬
Shawermat,‫شاورمات‬
Yahyah Parts Center,‫مركز قطع غيار يحيى‬
Rose Restaurant,‫مطعم روز‬
Mabshoor House,‫بيت مبشور‬
Gulf Fasterners Company,‫شركة جلف فاستنر‬
Super Royal,‫سوبر رويال‬
Classic Charcoal,‫الفحم الكلاسيكي‬
Hamra Perfumes,‫حمرا للعطور‬
Hello Romance,‫مرحبا الرومانسية‬
Wedad Kitchen,‫مطبخ وداد‬
Ahmad Ice Plant,‫مصنع أحمد للثلج‬
Mulla Engineering And Consulting Office,‫مكتب الملا للهندسة والاستشارات‬
Al Bin Humda Electronics,‫بن حمدة للإلكترونيات‬
Computer Bags,‫حقائب الكمبيوتر‬
Dana Cattering Services,‫دانة لخدمات التموين‬
Saad Trading,‫سعد للتجارة‬
Alam Al-Thakfidat,‫عالم الذكفيدات‬
Mas Trading,‫ماس للتجارة‬
Costa Juice,‫عصير كوستا‬
Nawashit Restaurant,‫مطعم نواشيت‬
Hamdani,‫حمداني‬
Lawamea,‫لواعمية‬
Ashab Al-Khissa,‫أصحاب الخصة‬
Annaba Shoes Center,‫مركز أحذية عنابة‬
Raiaana Shoes,‫أحذية ريانا‬
Tabuk Shoes & Miss Shoes,‫أحذية تبوك وأحذية ملكة جمال‬
Fiber Ball Pillow,‫وسادة الكرة الليفية‬
Diameters World for Trading,‫أقطار العالم للتجارة‬
Infectious/Biohazardous Waste,‫النفايات المعدية / الخطرة بيولوجيا‬
Infectious Waste/Biohardous Waste,‫النفايات المعدية / النفايات الحيوية الصلبة‬
Bakhour Charcoal,‫فحم البخور‬
Sabic,‫سابك‬
ChiCkoos,‫تشيكوس‬
KKMC Hospital,‫مستشفى KKMC‬
Hillal,‫هلال‬
Juton Paints,‫دهانات جوتون‬
Abeer 2,‫عبير 2‬
Mashriq Al-Khaleej,‫مشرق الخليج‬
Seafoods Restaurant,‫مطعم المأكولات البحرية‬
Jamiyah Safwa,‫جامع الصفوة‬
Japjapa,‫جابجابا‬
Jasim,‫جاسم‬
Matco,‫ماتكو‬
Wajaha,‫وجاهة‬
Mohammad Al-Aradi,‫محمد العرادي‬
Azhar Al-Rabi Co. 5,‫شركة أزهر الربيع 5‬
Azhar Al-Rabi Co. 3,‫شركة أزهر الربيع 3‬
Sharq International School,‫مدرسة شرق الدولية‬
EZ Restaurant,‫مطعم EZ‬
Keyboard For Computer,‫لوحة مفاتيح للكمبيوتر‬
East Central,‫إيست سنترال‬
Ryan Supermarket,‫ريان سوبر ماركت‬
Munjif,‫منجف‬
Platinum Casual,‫بلاتينيوم كاجوال‬
Shamel Plaza,‫شامل بلازا‬
Steinike Hall (SH),‫قاعة شتاينيك (SH)‬
Banoosh Foodstuff Est.,‫مؤسسة بانوش للمواد الغذائية‬
Shamasi,‫شماسي‬
Shabba Trading Est.,‫مؤسسة شبا للتجارة‬
Red Ribbons,‫شرائط حمراء‬
Ali Al-Dossary,‫علي الدوسري‬
Rehmani,‫رحماني‬
Rashid Plaza,‫راشد بلازا‬
Elegant Palace,‫القصر الأنيق‬
Sabaya Cosmetics,‫صبايا لمستحضرات التجميل‬
Bin Qadeem Stores Trading,‫تجارة مخازن بن قديم‬
Bader,‫بدر‬
Adnan,‫عدنان‬
Karzakan,‫كرزكان‬
Karana,‫كارانا‬
Amary,‫عامري‬
Sharqia,‫الشرقية‬
Umkhalid,‫أمخاليد‬
Fakhamah,‫فخمة‬
Soroor,‫سورور‬
General Store 2,‫المتجر العام 2‬
Rashad Center,‫مركز رشاد‬
Well Done,‫أحسنت‬
Dijla Poultry Farm,‫مزرعة دواجن دجلة‬
Sarekh Dammam,‫سارخ الدمام‬
S & S Sima,‫س آند إس سيما‬
Layan Auto Parts,‫ليان قطع غيار السيارات‬
White Rose,‫الوردة البيضاء‬
Baby Dream,‫بيبي دريم‬
Jamrat Hajar,‫جمرات حجر‬
Kawser,‫كوثر‬
Industrial Trading House (ITH),‫بيت التجارة الصناعي (ITH)‬
Tahir Group,‫مجموعة الطاهر‬
Mohammed Al-Tamimi,‫محمد التميمي‬
Ekhtiyar Al-Mustahlaq Super Market,‫سوبر ماركت إختيار المستقل.‬
Crispy and Spicy,‫كرسبي آند سبايسي‬
Beauty Scarf,‫وشاح الجمال‬
Shifa AL-Jubail Pharmacy,‫صيدلية شفاء الجبيل‬
Falak,‫فلك‬
Adwa Al-Ekhtiyar Center,‫مركز عدوى التخصص‬
Ayoop,‫أيوب‬
Abayat Al-Hasna,‫عباية الحسناء‬
DEBAJ AL-RAKI CENTER,‫مركز ديباج الراكي‬
Thabeay Restaurant,‫مطعم ذبيع‬
roshna,‫روشنا‬
Rafa Pharmacy,‫صيدلية رافا‬
SARAYA CENTER,‫مركز سرايا‬
DAR AL-TOFOLAH,‫دار الطفولة‬
MUKHTARAH,‫مختارة‬
NASSER TRADING CENTER,‫مركز ناصر التجاري‬
Health Pillow,‫وسادة صحية‬
K.F.S.H.D.,‫ك.ف.س.ح.د.‬
Khobar Cooperative Clinic,‫عيادة الخبر التعاونية‬
RADI HALAL,‫راضي حلال‬
ALAM AL-TAKHFIDAT CENTER,‫مركز علم التخصصات‬
AL-JAWKER,‫الجوكر‬
DIWAN AL-MASHAWI RESTURANT,‫مطعم ديوان المشوي‬
Tanveer,‫تنفير‬
Serbal,‫سربال‬
WAHAT AL-SHAMIL PLAZA,‫واحة الشمال بلازا‬
SEA FOOD RESTURANT,‫مطعم المأكولات البحرية‬
Shirimpy International,‫شيريمبي الدولية‬
JAZERAT AL-SALAM FACTORY,‫مصنع جزيرة السلام‬
WAFA PALACE,‫قصر الوفاء‬
BIN HUMDA ELECTRONIC,‫بن حمدة الإلكترونية‬
ALAHRAM CENTER,‫مركز الأهرام‬
Pillow,‫مخدة‬
TECHNICAL CENTER TURKISH,‫المركز التقني التركي‬
Ustun Ray,‫أوستون راي‬
JERAIF RESTURANT,‫مطعم جريف‬
HILAL PHARMACY,‫صيدلية الهلال‬
COLGATE,‫كولجيت‬
MOZON RESTURANT,‫مطعم موزون‬
HABIB AL-RAHMAN,‫حبيب الرحمن‬
PIZZA REEM,‫بيتزا ريم‬
KAWATIM RESTURANT/BASAM,‫مطعم كاواتيم / بسام‬
ALI M. BU SALEH TRADING & CONT.EST,‫علي محمد بو صالح للتجارة والاستمرار مؤسسه‬
ANAQAT AL-MAHA,‫قنوات المها‬
MASS TRADING,‫التداول الجماعي‬
KWATIM RESTURANT,‫مطعم كوتيم‬
ALQIMAH CENTER(TOP),‫مركز القمة(أعلى)‬
INTERNATIONAL AGENT EST.,‫مؤسسة الوكيل الدولي‬
Bread World,‫عالم الخبز‬
HARAT RAHAL BAKERIES & SWEETS,‫مخابز وحلويات حارة رحال‬
SAMBOSA MOON,‫قمر سامبوسا‬
BRAVO,‫عفارم‬
CRISPY KING,‫كرسبي كينج‬
PARIS CENTER,‫مركز باريس‬
MALTA,‫مالطا‬
OLAYAN FOR ABAYAT,‫أوليان للعبايات‬
Seven Star,‫سبع نجوم‬
AL-JAMAL WAL KAMAL EST.,‫مؤسسة الجمل والكمال‬
Thalatha Al-Kwakib Est.,‫مؤسسة ثلاثا الكواكب.‬
Ibn Zahr Clinic,‫عيادة ابن زهر‬
Qabban,‫قبان‬
Alwani Trading Center,‫مركز اللواني التجاري‬
Persian Carpet Center,‫مركز السجاد الفارسي‬
Konfti Sweets,‫حلويات كونفتي‬
Jabri Fashion & Textiles,‫جابري للأزياء والمنسوجات‬
Doha Star For Electronic,‫نجمة الدوحة للإلكترونيات‬
Consumer Oasis,‫واحة المستهلك‬
Mansoor Rabiyah Sayed (MRS),‫منصور رابعة سيد (MRS)‬
Matbah Al-Mashra Restaurant,‫مطعم مطبة المشرى‬
"One, Two and More",‫واحد واثنان وأكثر‬
Moh. Abd. Al-Hajire Trading Est.,‫الوزاره. مؤسسة عبد الهاجير التجارية‬
Abu Traika Rice,‫أرز أبو طريقة‬
Mubaraka,‫مباركة‬
Ruqee,‫رقي‬
Ribbons Pastries and Bakeshope,‫شرائط المعجنات والخبز‬
Vichy Laboratories,‫مختبرات فيشي‬
Gulf Waves,‫أمواج الخليج‬
Ghader Nuts,‫غدر جوز‬
Kahramana (KS) + View Aqua,‫كهرمانا (كانساس) + عرض أكوا‬
Shawarma Gina,‫شاورما جينا‬
Medical Uniform,‫الزي الطبي‬
Sam Mathew,‫سام ماثيو‬
Qamma Al-Baraka,‫قماء البركة‬
Meshkhal Charcoal,‫مشخال فحم‬
Jood Baby,‫جود بيبي‬
Heaven Sweets & Nuts,‫حلويات السماء والمكسرات‬
Haji Markets W.L.L.,‫أسواق حاجي ذ.م.م‬
Laeonha Est.,‫مؤسسة ليونها‬
Bin Afif (Arda Trading Corp.),‫بن عفيف (شركة أرض التجارية)‬
Kadiwa Shopping Center,‫مركز كاديوا للتسوق‬
Sama Sama Shopping Center,‫مركز سما للتسوق‬
Fouzan Food Supplies,‫فوزان للإمدادات الغذائية‬
Dahareez Toys,‫ألعاب الظهريز‬
Plastic Marketing,‫تسويق البلاستيك‬
Islamic Cultural Center,‫المركز الثقافي الإسلامي‬
Nabel,‫نابل‬
Senbel Agriculture & Veterenary Mat Est.,‫مؤسسة سنبل للزراعة والبيطرية‬
Tabaqat,‫طبقات‬
Knife,‫سكين‬
United (RC Jubail),‫يونايتد (RC الجبيل)‬
Nemar Trading Est.,‫مؤسسة نمار التجارية‬
Jory Fashion,‫أزياء جوري‬
Khonaini Pharmacies,‫صيدليات خونيني‬
Abu Haitem Turkey Restaurant,‫مطعم أبو حطتم تركيا‬
Lights,‫اضواء‬
Chandeliers,‫الثريات‬
Enarat,‫إينارات‬
Ten Over Ten,‫عشرة على عشرة‬
Rise Crome,‫رايز كروم‬
IPA,‫IPA‬
Awali For Foodstuff W.L.L.,‫شركة أولي للمواد الغذائية ذ.م.م‬
Biomet,‫بيوميت‬
Baba Nor,‫بابا نور‬
Levis Jeans,‫ليفيس جينز‬
Elegant Wave Trading Est. Br.,‫مؤسسة الموجات الأنيقة للتجارة Br.‬
Chili Restaurant,‫مطعم تشيلي‬
Shark Center,‫مركز القرش‬
Bayuni Center,‫مركز بيوني‬
K-12,‫ك -12‬
Faham Al-Bahoor,‫فهام الباهور‬
Ferruci,‫فيروسي‬
Atheeb,‫عذيب‬
Golden Janadriah Est.,‫مؤسسة الجنادرية الذهبية.‬
Kono Pizza,‫بيتزا كونو‬
Cam4Sell,‫Cam4Sell‬
Jinoob Perfume,‫عطر جنوب‬
Romaizan Diamond,‫رميزان دايموند‬
Safeena,‫صفينا‬
Hyper Top,‫هايبر توب‬
Nukbah Selection,‫اختيار النكبة‬
Beef O Bradys,‫لحم بقري أو براديس‬
Asmai Bookstore,‫مكتبة أسماي‬
Jouz Sweets,‫حلويات جوز‬
Atlas Capco,‫أطلس كابكو‬
Awal Pharmacy,‫صيدلية أوال‬
City Style,‫ستايل المدينة‬
Elia Restaurant,‫مطعم إيليا‬
Wardo Kabab,‫وردو كباب‬
Saad Commercial,‫سعد التجاري‬
Mulhim,‫موليم‬
Top Bags,‫أعلى الحقائب‬
Frederic M,‫فريدريك م‬
Papa Mojanati Restaurants,‫مطاعم بابا موجاناتي‬
Mona,‫مونا‬
Shams Al-Madina Trad. Est.,‫شمس المدينة طراد. مؤسسه.‬
Chantek,‫شانتيك‬
Luluat Al-Rafidin Restaurant,‫مطعم لولوات الرافدين‬
Bab Al-Khaer,‫باب الخير‬
My Home & I,‫بيتي وأنا‬
Gulf Nuts and Sweets Center,‫مركز الخليج للمكسرات والحلويات‬
Chocolate,‫شكولاته‬
Siddiq,‫صديق‬
Black Star,‫النجم الأسود‬
Rafghad,‫رفغد‬
Cyber City,‫سايبر سيتي‬
Scholl,‫شول‬
Munif Trading Center,‫مركز منيف التجاري‬
TRAD,‫طراد‬
Najoom Paris Perfume,‫عطر نجوم باريس‬
Ali A. Al-Hashim Trading Est.,‫مؤسسة علي عبدالرحمن الهاشم التجارية.‬
Sea Meal,‫وجبة البحر‬
Parts World Est.,‫مؤسسة بارتس وورلد‬
RT Sports,‫RT الرياضة‬
Magistic Pillow,‫وسادة ماجيستيك‬
Cateus,‫كاتيوس‬
Taiba Center,‫طيبة سنتر‬
Nahda Restaurant,‫مطعم النهدة‬
Afghani,‫أفغاني‬
Naeem Pastry & Grill,‫نعيم المعجنات والمشاوي‬
Khaled A. Al-Mulhim & Bros Co.,‫شركة خالد عبدالرحمن الملحم وإخوانه‬
V VIV,‫في فيف‬
Luluat,‫اللؤلوات‬
Alwan Baraka,‫ألوان بركة‬
Awany Al-Nawraj,‫عواني النوراج‬
Ahali Sandwiches,‫سندويتشات الأهالي‬
Burger House,‫برجر هاوس‬
Badeel,‫بديل‬
Masala Restaurant,‫مطعم ماسالا‬
Jubail Guest Palace Restaurant,‫مطعم جبيل جيست بالاس‬
Zaiyan,‫زيان‬
Hailah Mushabab Lejhar Trad. Center,‫هيلة مشباب لجار طراد. مركز‬
Zainabia,‫زينبيا‬
Sweet Village,‫القرية الحلوة‬
Gourmet Bakers & Sweets,‫جورميه بيكرز آند سويتس‬
Diamond Soft Tissue,‫المناديل الناعمة الماسية‬
Radan,‫رادان‬
Charleys Grilled Subs,‫تشارليز جوبس مشوي‬
Sultan Grill,‫سلطان جريل‬
Little Caesars,‫القياصرة الصغار‬
My House,‫منزلي‬
Cherokee,‫شيروكي‬
DFC,‫DFC‬
Rav,‫راف‬
BNB,‫BNB‬
Joker,‫جوكر‬
Arabian Expert,‫الخبير العربي‬
Abu Al-Ainen,‫أبو العينين‬
Basmati,‫بسمتي‬
Haseer Restaurant,‫مطعم حصير‬
Injee Restaurant,‫مطعم إنجي‬
Barwaz,‫برواز‬
Good Morning Sunrise,‫صباح الخير شروق الشمس‬
Jinan Car Wash,‫جينان غسيل السيارات‬
Handor Abdullah Al-Asmari Trading Est.,‫مؤسسة هاندور عبدالله الأسمري التجارية‬
Jazeera World,‫عالم الجزيرة‬
Cake And Bake,‫كيك اند بيك‬
Flaafel Time,‫وقت فلافل‬
Shoala Restaurant,‫مطعم شعلة‬
Nelly Restaurant,‫مطعم نيللي‬
Dewany Restaurant,‫مطعم ديواني‬
Tasnee,‫التصنيع‬
Trath Al-Sharq,‫تراث الشرق‬
Qalet Al-Anod Restaurant,‫مطعم قلعة العنود‬
Azhar Al-Rabi Co. 8,‫شركة أزهر الربيع 8‬
Saeed Fakher Trading Co.,‫شركة سعيد فاخر التجارية‬
Adam Broasted,‫آدم بروست‬
Lebanese Oven,‫فرن لبناني‬
Kemya,‫كيميا‬
Fatyat,‫فتيات‬
Gozor Al-Tabeyah,‫جذور الطابية‬
Basamat Dental Clinics,‫عيادات بسامات لطب الأسنان‬
Ahmad Shisha,‫أحمد الشيشة‬
Qassar Al-Thaqfidhat,‫قصار الثقفيذات‬
Jazeera Bakery,‫مخبز الجزيرة‬
Talabiat Metal Surface Treatment Factory,‫مصنع طلبات معالجة الأسطح المعدنية‬
Shehab,‫شهاب‬
Lilac Restaurant,‫مطعم ليلك‬
Gama Hospital,‫مستشفى جاما‬
Kanayon Supermarket,‫Kanayon سوبر ماركت‬
Tamrya,‫تامريا‬
Aradi Supermarket,‫أرادي سوبر ماركت‬
Shawate Al-Khaleej,‫شوات الخليج‬
Tamayouz,‫التميز‬
Protesto,‫بروتستو‬
Jamalalbuyoot,‫جمال البويوت‬
Khusheim Industrial Equipment Co.,‫شركة خوشيم للمعدات الصناعية‬
Kalemat,‫كلمات‬
Future For Toys,‫مستقبل للألعاب‬
Apple Phone,‫هاتف أبل‬
Nadera,‫ناديرا‬
Optical City,‫المدينة البصرية‬
Misbah Trading Est.,‫مؤسسة مصباح للتجارة‬
Granite Powder,‫مسحوق الجرانيت‬
Shima,‫شيما‬
Kifahi Est.,‫مؤسسة كفاحي‬
Milas Restaurant,‫مطعم ميلاس‬
Hamazan Restaurant,‫مطعم همزان‬
Joory Toys,‫ألعاب جوري‬
Layan Hyper,‫ليان هايبر‬
Needle And Thread,‫إبرة وخيط‬
Fakhre,‫فخري‬
Steam Star,‫ستيم ستار‬
Tayeb Pharmacy,‫صيدلية الطيب‬
Wasail,‫وسيل‬
Blue Birds,‫الطيور الزرقاء‬
Experts,‫الخبراء‬
Nariyah Medical,‫نارية الطبية‬
Oriental Antique,‫العتيقة الشرقية‬
Dhooq Restaurant,‫مطعم ذوق‬
Riyadh Trading Center,‫مركز الرياض التجاري‬
Daloob,‫دلوب‬
Friends,‫اصدقاء‬
Crispy WoW,‫كرسبي واو‬
Jowan Car Wash,‫جوان غسيل السيارات‬
Nogosh,‫نوقوش‬
Violinista,‫عازف الكمان‬
Donuts Place,‫دوناتس بليس‬
Attia Trading Est.,‫مؤسسة عطية للتجارة‬
BS - Beauty Secret Cosmetics,‫بكالوريوس - مستحضرات التجميل السرية‬
Dammam National Dispensary,‫مستوصف الدمام الوطني‬
HomWare,‫هوم وير‬
Alam Bahariyat Restaurant,‫مطعم علم بهاريات‬
Fit House,‫فيت هاوس‬
Casa Cofee,‫كازا كوفي‬
Dallah Kersar,‫دله كرسار‬
Elegance,‫الاناقه‬
Price Touches,‫لمسات السعر‬
Avnos Restaurant,‫مطعم أفنوس‬
Guest Palace Restaurant,‫مطعم جيست بالاس‬
Kingdom Carpet,‫سجادة المملكة‬
Fawar,‫فوار‬
A-1 Products,‫منتجات A-1‬
New Ten,‫نيو تن‬
Abu Safar,‫أبو سفر‬
Glossy,‫لامعه‬
Baity,‫بيتي‬
Ameer Restaurant,‫مطعم أمير‬
Saraya Restaurant,‫مطعم سرايا‬
Cabalen Restaurant,‫مطعم كابالين‬
Naval Coldstore,‫كولدستور البحرية‬
Adel Al-Mountazar,‫عادل المنتزار‬
Safanah,‫صفانة‬
Elap wa Taalam,‫إيلاب وعلم‬
Estilo,‫إستيلو‬
Happy Land,‫هابي لاند‬
Tamur Waratib Tayeb,‫تامور وراتيب الطيب‬
Saffron Island Restaurant,‫مطعم جزيرة الزعفران‬
Tasty and Crispy,‫لذيذ ومقرمش‬
Olive Village,‫قرية الزيتون‬
Handasah Alhazem,‫هنداسة الحازم‬
Yonis Burger,‫يونس برجر‬
Bab KhoKha,‫باب خوخا‬
Be Sport,‫كن رياضيا‬
Shike sayaden,‫شيك سايادن‬
Razi clinec,‫رازي كلاينك‬
Little Doll,‫دمية صغيرة‬
Dulaijan,‫دليجان‬
Rawabi Sweet,‫روابي سويت‬
Flying Horse,‫الحصان الطائر‬
Japanishi,‫يابانيشي‬
Bench,‫مصطبة‬
Arrazi Clinics,‫عيادات الرازي‬
Bortokan,‫بورتوكان‬
Shaikh Al-Sayadin,‫الشيخ الصيادين‬
Zad Al-Diwanyya,‫زاد الديوانية‬
Sambosa,‫سمبوسة‬
Nasma AL-Jazeera Restaurant,‫مطعم نسمة الجزيرة‬
Adliya Gate,‫بوابة العدلية‬
Howard Johnson,‫هوارد جونسون‬
Zamil,‫الزامل‬
GHL (Gulf House Lab.),‫GHL (مختبر بيت الخليج)‬
Rawaea Jeddah,‫راويع جدة‬
Danoob,‫دانوب‬
Patonia,‫باتونيا‬
Middle East Restaurant,‫مطعم الشرق الأوسط‬
Tawania,‫توانية‬
Alyoum Alsayed Restaurant,‫مطعم اليوم السيد‬
Alazaem Restaurants,‫مطاعم العظام‬
